Year,Inflation Rate,Unemployment Rate,,,
2020,6.62%,7.11%,,,
2019,3.72%,5.27%,,,
2018,3.95%,5.33%,,,
2017,3.33%,5.41%,,,
2016,4.95%,5.51%,,,
2015,4.91%,5.56%,,,
2014,6.65%,5.60%,,,
2013,11.06%,5.67%,,,
2012,9.31%,5.66%,,,
2011,8.86%,5.65%,,,
2010,11.99%,5.65%,,,
2009,10.88%,5.61%,,,
2008,8.35%,5.36%,,,
2007,6.37%,5.41%,,,
2006,5.80%,5.52%,,,
2005,4.25%,5.65%,,,
2004,3.77%,5.72%,,,
2003,3.81%,5.77%,,,
2002,4.30%,5.77%,,,
2001,3.78%,5.73%,,,
2000,4.01%,5.75%,,,
1999,4.67%,5.78%,,,
1998,13.23%,5.74%,,,
1997,7.16%,5.74%,,,
1996,8.98%,5.75%,,,
1995,10.22%,5.75%,,,
1994,10.25%,5.75%,,,
1993,6.33%,5.72%,,,
1992,11.79%,5.61%,,,
1991,13.87%,5.55%,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
